Open,Close,Weekday
BTC-USD,BTC-USD,
17527.30078125,16477.599609375,2
14588.5,14973.2998046875,5
14370.7998046875,13772.0,2
11431.099609375,11188.599609375,5
12889.2001953125,11600.099609375,2
10903.400390625,11359.400390625,5
11475.2998046875,11786.2998046875,2
10108.2001953125,10221.099609375,5
9175.7001953125,8277.009765625,2
7755.490234375,7621.2998046875,5
8616.1298828125,8129.97021484375,2
8599.919921875,9494.6298828125,5
11123.400390625,10551.7998046875,2
11372.2001953125,10690.400390625,5
9796.419921875,9664.73046875,2
10687.2001953125,10397.900390625,5
11497.400390625,11512.599609375,2
10803.900390625,9965.5703125,5
8852.7802734375,9578.6298828125,2
9214.650390625,8269.8095703125,5
7890.52001953125,8223.6796875,2
8937.48046875,8929.2802734375,5
8612.8095703125,8495.7802734375,2
7836.830078125,7954.47998046875,5
7003.06005859375,6844.22998046875,2
7456.41015625,6853.83984375,5
6919.97998046875,7023.52001953125,2
6843.47021484375,6968.31982421875,5
7999.330078125,8329.1103515625,2
7944.43017578125,8163.419921875,5
8925.0595703125,8802.4599609375,2
9701.0302734375,8845.740234375,5
9346.41015625,9419.080078125,2
9104.599609375,9235.919921875,5
9845.3095703125,9654.7998046875,2
9223.73046875,9325.1796875,5
8515.490234375,8723.9404296875,2
8504.41015625,8368.830078125,5
8246.990234375,8513.25,2
8037.080078125,7557.81982421875,5
7362.080078125,7368.22021484375,2
7469.72998046875,7406.52001953125,5
7632.08984375,7720.25,2
7625.97021484375,7653.97998046875,5
7499.5498046875,6786.02001953125,2
6596.8798828125,6349.89990234375,5
6545.52978515625,6499.27001953125,2
6770.759765625,6776.5498046875,5
6164.27978515625,6173.22998046875,2
6084.39990234375,6157.1298828125,5
6411.68017578125,6385.81982421875,2
6550.8701171875,6597.5498046875,5
6857.7998046875,6773.8798828125,2
6330.77001953125,6394.7099609375,5
6272.7001953125,6359.64013671875,2
7315.31982421875,7370.77978515625,5
7417.7998046875,7418.490234375,2
8379.66015625,8181.39013671875,5
8205.8203125,8218.4599609375,2
7769.0400390625,7624.91015625,5
7031.080078125,7068.47998046875,2
6746.85009765625,6305.7998046875,5
6283.64990234375,6322.68994140625,2
6221.419921875,6308.52001953125,5
6422.56982421875,6506.06982421875,2
6486.25,6376.7099609375,5
6754.64013671875,6707.259765625,2
7091.7099609375,7047.16015625,5
7189.580078125,7272.72021484375,2
7361.4599609375,6792.830078125,5
6223.3798828125,6300.85986328125,2
6317.009765625,6351.7998046875,5
6536.68017578125,6517.18017578125,2
6371.85009765625,6398.5400390625,5
6715.31982421875,6710.6298828125,2
6452.7900390625,6495.0,5
6604.7099609375,6625.56005859375,2
6553.85986328125,6502.58984375,5
6590.68017578125,6602.9501953125,2
6640.2900390625,6585.52978515625,5
6288.490234375,6290.93017578125,2
6590.52001953125,6544.43017578125,5
6490.08984375,6482.35009765625,2
6478.89013671875,6495.83984375,5
6482.66015625,6486.39013671875,2
6336.990234375,6317.60986328125,5
6365.47021484375,6376.1298828125,2
6468.5,6530.14013671875,5
6413.6298828125,6411.27001953125,2
6351.240234375,5738.35009765625,5
5559.740234375,5623.5400390625,2
4465.5400390625,4602.169921875,5
3880.780029296875,4009.969970703125,2
3822.469970703125,4257.419921875,5
4200.7333984375,4139.8779296875,2
3958.894775390625,3753.994873046875,5
3473.2275390625,3614.234375,2
3421.458251953125,3486.9501953125,5
3236.274658203125,3252.839111328125,2
3706.824951171875,3745.95068359375,5
4020.99462890625,3998.980224609375,2
3819.666748046875,3857.297607421875,5
3822.384765625,3865.95263671875,2
3849.21630859375,3943.409423828125,5
3836.51904296875,4076.632568359375,2
4031.552001953125,4035.29638671875,5
3658.8681640625,3552.953125,2
3631.509765625,3655.0068359375,5
3725.446044921875,3601.013671875,2
3605.55712890625,3585.123046875,5
3604.687255859375,3583.9658203125,2
3443.89697265625,3486.181640625,5
3516.1396484375,3464.013427734375,2
3469.091796875,3413.767822265625,5
3673.201416015625,3690.188232421875,2
3653.60400390625,3632.070556640625,5
3633.359375,3673.836181640625,2
3946.68505859375,3999.820556640625,5
4145.4580078125,3810.427490234375,2
3857.479736328125,3851.04736328125,5
3862.26611328125,3847.17578125,2
3897.0810546875,3903.942626953125,5
3966.17431640625,3951.599853515625,2
3913.04736328125,3906.71728515625,5
4047.719482421875,4025.22900390625,2
4070.7939453125,4087.476318359375,5
4035.16357421875,4022.168212890625,2
3984.244873046875,4087.066162109375,5
4105.4560546875,4105.404296875,2
4879.9580078125,4973.02197265625,5
5062.7939453125,5198.89697265625,2
5204.10546875,5324.5517578125,5
5095.7587890625,5167.72216796875,2
5236.13525390625,5251.93798828125,5
5335.87890625,5314.53125,2
5571.50830078125,5464.86669921875,5
5271.74658203125,5285.13916015625,2
5350.91455078125,5402.697265625,5
5831.068359375,5795.70849609375,2
5849.4814453125,5982.45751953125,5
7203.50732421875,6972.37158203125,2
7989.37451171875,8205.16796875,5
7267.962890625,8197.689453125,2
7956.2919921875,7680.06640625,5
8055.2060546875,8673.2158203125,2
8718.591796875,8659.4873046875,5
8565.4736328125,8742.9580078125,2
7704.34326171875,7824.2314453125,5
7949.6748046875,7688.0771484375,2
7925.43408203125,8145.857421875,5
8841.4404296875,8994.48828125,2
9078.7275390625,9273.521484375,5
10696.69140625,10855.37109375,2
11778.5810546875,13016.2314453125,5
11931.9912109375,10817.1552734375,2
10818.15625,11961.26953125,5
11217.6162109375,11450.8466796875,2
12571.537109375,12156.5126953125,5
11381.0205078125,10256.05859375,2
9471.2138671875,9693.802734375,5
