Open,Low,High,Close,Volume,Year,Month,Day,Weekday
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,
14978.2001953125,14844.5,15572.7998046875,15201.0,16871900160,1396,10,13,5
17527.30078125,16087.7001953125,17579.599609375,16477.599609375,15866000384,1396,10,17,2
14588.5,13691.2001953125,14973.2998046875,14973.2998046875,18500800512,1396,10,20,5
14370.7998046875,13268.0,14511.7998046875,13772.0,11084099584,1396,10,24,2
11431.099609375,9402.2900390625,11678.0,11188.599609375,18830600192,1396,10,27,5
12889.2001953125,11288.2001953125,12895.900390625,11600.099609375,9935179776,1396,11,1,2
10903.400390625,10639.7998046875,11501.400390625,11359.400390625,9940989952,1396,11,4,5
11475.2998046875,11475.2998046875,12040.2998046875,11786.2998046875,8350360064,1396,11,8,2
10108.2001953125,9777.419921875,10381.599609375,10221.099609375,8041160192,1396,11,11,5
9175.7001953125,8031.22021484375,9334.8701171875,8277.009765625,7073549824,1396,11,15,2
7755.490234375,7236.7900390625,8509.1103515625,7621.2998046875,9169280000,1396,11,18,5
8616.1298828125,7931.10009765625,8616.1298828125,8129.97021484375,6122189824,1396,11,22,2
8599.919921875,8599.919921875,9518.5400390625,9494.6298828125,7909819904,1396,11,25,5
11123.400390625,10326.0,11349.7998046875,10551.7998046875,8744009728,1396,11,29,2
11372.2001953125,10479.099609375,11418.5,10690.400390625,9405339648,1396,12,2,5
9796.419921875,9407.0595703125,9923.2197265625,9664.73046875,5706939904,1396,12,6,2
10687.2001953125,10393.099609375,11089.7998046875,10397.900390625,6936189952,1396,12,9,5
11497.400390625,11136.099609375,11512.599609375,11512.599609375,6084149760,1396,12,13,2
10803.900390625,9692.1201171875,10929.5,9965.5703125,8797910016,1396,12,16,5
8852.7802734375,8607.1201171875,9711.8896484375,9578.6298828125,6296370176,1396,12,20,2
9214.650390625,8068.58984375,9355.849609375,8269.8095703125,6438230016,1396,12,23,5
